               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.044276,            0.049386,                   0,             0.90714,             0.91009,             0.93062,             0.52536,            0.050781,             0.11222,                   0,            0.009505,            0.009505,            0.009505
                  40,            0.044787,            0.049159,                   0,             0.91624,             0.92928,             0.95232,             0.66449,            0.042619,             0.10647,                   0,            0.009505,            0.009505,            0.009505
                  41,            0.042657,            0.050605,                   0,             0.89348,             0.90654,             0.92527,             0.58139,            0.048401,             0.11877,                   0,            0.009505,            0.009505,            0.009505
                  42,            0.042567,            0.049857,                   0,             0.89915,             0.88709,             0.92411,             0.61167,            0.048012,             0.11127,                   0,            0.009505,            0.009505,            0.009505
                  43,            0.043314,            0.050632,                   0,             0.91636,             0.91613,             0.94302,             0.58872,            0.046454,             0.10796,                   0,            0.009505,            0.009505,            0.009505
                  44,            0.043516,            0.048816,                   0,             0.93492,             0.91382,             0.96215,             0.67943,            0.042686,              0.1015,                   0,            0.009505,            0.009505,            0.009505
                  45,            0.041805,            0.049252,                   0,             0.92183,             0.90524,             0.94806,              0.6602,            0.043861,             0.10581,                   0,            0.009505,            0.009505,            0.009505
                  46,            0.042073,            0.044156,                   0,             0.90882,             0.88237,             0.92583,             0.62331,            0.046442,             0.10607,                   0,            0.009505,            0.009505,            0.009505
                  47,            0.042151,            0.045621,                   0,             0.88001,             0.82879,             0.88844,             0.55855,            0.049482,             0.11715,                   0,            0.009505,            0.009505,            0.009505
                  48,            0.039885,            0.046713,                   0,             0.88767,             0.88738,             0.92804,             0.64426,            0.045479,             0.10888,                   0,            0.009505,            0.009505,            0.009505
                  49,             0.04141,            0.047694,                   0,             0.90808,              0.9163,             0.94433,              0.6228,            0.046451,             0.10896,                   0,            0.009505,            0.009505,            0.009505
                  50,            0.041748,            0.048576,                   0,             0.92547,             0.92673,             0.95411,             0.65312,            0.042583,             0.10634,                   0,            0.009505,            0.009505,            0.009505
                  51,            0.041577,            0.049001,                   0,             0.91424,              0.9108,             0.94602,             0.65185,            0.045522,              0.1074,                   0,            0.009505,            0.009505,            0.009505
                  52,            0.042035,            0.048131,                   0,             0.92992,             0.92427,             0.96229,             0.61999,            0.043453,             0.10381,                   0,            0.009505,            0.009505,            0.009505
                  53,            0.040766,            0.041582,                   0,             0.92206,             0.91653,             0.95779,             0.68075,            0.045139,             0.10268,                   0,            0.009505,            0.009505,            0.009505
                  54,            0.042218,            0.044915,                   0,             0.92718,             0.91116,             0.95905,             0.66704,            0.043082,             0.10503,                   0,            0.009505,            0.009505,            0.009505
                  55,            0.039493,            0.043468,                   0,             0.93203,             0.90641,             0.94998,              0.6771,            0.041034,             0.10497,                   0,            0.009505,            0.009505,            0.009505
                  56,            0.041798,            0.047352,                   0,             0.92263,             0.91115,             0.94767,              0.6725,            0.041006,             0.10531,                   0,            0.009505,            0.009505,            0.009505
                  57,            0.039336,            0.040842,                   0,             0.92637,             0.89424,             0.94669,             0.67501,            0.043118,             0.10576,                   0,            0.009505,            0.009505,            0.009505
                  58,            0.038731,            0.046348,                   0,             0.93682,             0.90903,             0.94884,             0.66819,            0.043337,             0.10141,                   0,            0.009505,            0.009505,            0.009505
                  59,            0.040098,            0.043487,                   0,             0.92319,             0.91834,             0.95152,             0.62644,            0.044967,             0.10338,                   0,            0.009505,            0.009505,            0.009505
                  60,            0.039028,            0.045325,                   0,             0.91549,             0.86283,             0.92246,              0.5882,            0.049052,              0.1086,                   0,            0.009505,            0.009505,            0.009505
                  61,            0.038509,            0.046394,                   0,             0.91738,             0.88344,             0.93242,             0.67162,            0.041948,             0.10405,                   0,            0.009505,            0.009505,            0.009505
                  62,             0.03764,            0.042907,                   0,             0.92374,             0.92117,             0.95549,             0.67006,            0.041089,              0.1036,                   0,            0.009505,            0.009505,            0.009505
                  63,            0.041014,            0.046279,                   0,             0.91947,             0.93324,             0.94887,             0.68882,            0.040876,             0.10242,                   0,            0.009505,            0.009505,            0.009505
                  64,            0.037152,            0.042937,                   0,              0.9232,             0.93532,             0.95408,             0.60547,            0.044949,             0.10723,                   0,            0.009505,            0.009505,            0.009505
                  65,            0.041226,            0.046878,                   0,             0.93218,              0.9329,             0.95931,             0.66332,            0.042118,             0.10202,                   0,            0.009505,            0.009505,            0.009505
                  66,            0.040184,            0.043949,                   0,             0.94259,             0.93943,             0.96503,             0.68623,            0.040935,            0.099885,                   0,            0.009505,            0.009505,            0.009505
                  67,            0.038573,            0.048875,                   0,             0.93985,             0.92735,              0.9634,             0.71112,            0.040037,            0.098907,                   0,            0.009505,            0.009505,            0.009505
                  68,            0.040059,            0.045959,                   0,             0.93671,             0.93532,             0.95862,             0.67313,            0.041248,             0.10064,                   0,            0.009505,            0.009505,            0.009505
                  69,            0.038397,            0.044091,                   0,             0.93589,             0.92146,             0.95498,             0.67277,            0.040927,             0.10192,                   0,            0.009505,            0.009505,            0.009505
                  70,            0.037492,            0.045057,                   0,              0.9238,              0.9172,             0.95239,             0.66675,            0.041302,             0.10029,                   0,            0.009505,            0.009505,            0.009505
                  71,            0.037746,            0.044393,                   0,             0.93081,             0.94184,             0.95937,             0.66218,            0.041817,             0.10053,                   0,            0.009505,            0.009505,            0.009505
                  72,            0.039692,            0.041858,                   0,             0.93785,             0.92768,              0.9595,             0.69017,            0.041272,            0.099831,                   0,            0.009505,            0.009505,            0.009505
                  73,            0.038272,            0.049476,                   0,             0.90546,             0.92235,             0.94503,             0.65857,            0.042172,             0.10715,                   0,            0.009505,            0.009505,            0.009505
                  74,            0.038977,            0.042184,                   0,             0.92944,             0.92221,             0.94923,             0.69855,            0.039004,             0.10162,                   0,            0.009505,            0.009505,            0.009505
                  75,            0.037841,            0.047734,                   0,             0.92022,             0.91365,             0.94851,             0.68284,            0.041653,             0.10359,                   0,            0.009505,            0.009505,            0.009505
